question;option1;option2;option3;option4;option4;correct_option_number;question number
"How many times will the character ""*"" get printed to the console?\n    x = 1\n    if x > 0:\n        print(""*"")\n        if x < 2:\n            print(""*"")\n        elif x == 1:\n            print(""*"")\n        else:\n            print(""*"")\n    else:\n        print(""*"")";1;2;0;4;;1;167
What is the output of this program after it is executed?\n    def squared(num):\n        global sq\n        sq = num ** 2\n    squared(5)\n    print(sq);25;Error;10;num ** 2;;0;168
"What do you expect the following code to output?\n    a = False\n    b = True\n    if a or b:\n        print(""True"")\n    else:\n        print(""False"")";True;False;;;;0;169
"What is the output of the following code snippet?\n    address_book = {'name': ""Robert"", 'age': 28, 'city': ""Dar es salaam""}\n    while address_book:\n        address_book.popitem()\n    print(address_book)";SyntaxError;{};"{''age': 28, 'city': ""Dar es salaam""}";"{'name': ""Robert"", 'age': 28}";;1;170
What is the output of this code when 3.14 and 1.0 are entered by the user when prompted and stored variables in pi and radius, respectively?\n    pi = float(input())\n    radius = int(input())\n    area = pi * radius **2\n    print(area);3;9.8;3.14;ValueError: invalid literal for int() with base 10: '1.0';;1;171
What would be the output of the following code?\n    marks= [78,89,92,68]\n    def max_marks(marks):\n        return max(marks)\n    print(max_marks(marks));92;68;327;Error;;0;172
Which one of these statements is incorrect:;0o123 is an example of Octal number representation;0X111 is an example of Hexadecimal number representation;bin(), hex(), oct() functions convert decimal numbers to binary, hexadecimal and octal numbers;bin() function will bin the values;;3;173
What will the output be when the following code is executed?\n    b = 0b101010 << 2\n    print(bin(b));0b10101011;0b10101000;0b101010;000b101010;;1;174
"What is the output of the following code when executed?\n    def add(new_value, values=[]):\n        values.append(new_value)\n        return values\n    vals = add(""Toyota"",[""BMW"",""Mercedes""])\n    print(add(""Ford"", vals))";['Toyota', ['BMW', 'Mercedes'], 'Ford'];['Toyota', 'BMW', 'Mercedes', 'Ford'];['BMW', 'Mercedes', 'Toyota', 'Ford'];SyntaxError;;2;175
What will be the output of the following print statements?\n    ones = [1]\n    ones_again = ones.extend([11,111])\n    print(ones)\n    print(ones_again);[1, 11, 111];errorC.[1, 11, 111]None;[11, 111, 1];;;2;176
"What will be the output when the user enters 'quit'?\n    while True:\n        name = input(""What is your name?"")\n        if name == 'quit':\n            print(""Exit"")\n            break\n        else:\n    print(""Hello, "", name)";Hello, quit;Hello, name;Exit;;;2;177
Which statement is correct regarding operators in Python?;Bitwise AND operator returns 1 only if both bits are 1 else 0;Bitwise OR operator returns 0 only if both bits are 0. If any of the bits is 1, it returns 1;All the above;Bitwise XOR operator returns 0 if both bits are either 0 or 1;;2;178
"What will be the output when the following code is executed?\n    greeting = ""Hello""\n    def func():\n        global greeting\n        greeting = ""Python""\n    func()\n    print(greeting)";Hello Python;Python;Hello;Error;;1;179
"What is the output of the following code?\n    fruits = [""apples"",""cherries""]\n    for fruits[-1] in fruits :\n        print(fruits[-1], end =""|"")";apples|cherries;apples|apples|;apples|cherries|;IndexError;;1;180
What will be the output when this code is executed?\n    ui_elements = dict([('radio_button', 2),('text_box', 3),('standard_button', 5)])\n    popped_element = ui_elements.popitem()\n    print(list(popped_element));['standard_button', 5];[('radio_button', 2),('text_box', 3)];['radio_button', 2];;;0;181
How would you insert a comment in python?;#I am a comment;//I am a comment;// I am a comment in python //;comment(I am a comment in python);;0;182
Who is the creator of Python?;Anthony hopkins;Guido van Rossum;James Gosling;Yukihiro Matsumoto;;1;183
Which of the following is a wrong way to declare a variable in python?;"_ak = ""forrest""";"123abc = ""forrest""";"_myvar= ""forrest""";"my_var= ""forrest""";;1;184
What kind of argument can you put into print() function?;Only numbers;Only strings;All kind of arguments;print() function doesn't support arguments;;2;185
What will be the output of mentioned below code ?\n    dict = {'Name': 'Robert', 'age': 30, 3:[2,3,4,5,8]}\n    print(dict);Syntax Error;{'Name', 'age', 3};{'Robert', 30, [2,3,4,5,8]};{'Name': 'Robert', 'age': 30, 3: [2, 3, 4, 5, 8]};;3;186
"What will be the output the following code?\n    for num in range(1, 10, 3):\n        print(num, end = "","")";1,4,7,;SyntaxError;1,2,4,5,6,7,8,9,10;1,10,3;;0;187
"Which of the following the correct output to the following code?\n    print(""apple"",""mangoes"",""Bananas"",""Oranges"",""Watermelon"")";"apple"",""mangoes"",""Bananas"",""Oranges"",""Watermelon";apple mangoes Bananas oranges;apple mangoes Bananas Oranges Watermelon;None of the above;;2;188
Python is a:;Compiled language;Assembled language;Interpreted language;None of the above;;2;189
"What will be the output of the following code?\n    print(""bottle"", ""cup"", ""bag"", ""wallet"", sep=""-"")";bottle-cup-bag-wallet-sep;bottle, cup, bag, wallet;bottle cup bag wallet;bottle-cup-bag-wallet;;3;190
What will be the output of the following code?print(13//(2*2));3;3.5;4;Syntax Error;;0;191
Which one is the correct file extension used for Python files?;.ty;.pyt;.py;.pt;;2;192
"What is the output of the following code?\n    if 2==2.0:\n        print(""same values"")\n    else:\n        print(""different values"")";different values;same values;SyntaxError;RuntimeError;;1;193
"What would be the output of the below code?\n    fruits = [""Robert"",""Karamagi"", """"]\n    fruits.remove(""Robert"")\n    print(fruits)";Robert;['Robert', ''];"[""Robert"",""Karamagi""]";"[""Robert""]";;1;194
What would be the output of the following code?print((10*2)/5);6;2;1;4;;3;195
"What will be the output of mention below code?\n    a = ""castle""\n    b = ""army""\n    c,d = a,b\n    print(c,d, sep=""::"")";army::castle;army:castle:;castle::army;None of the above;;2;196
"What would be the output of the following code?\n    temperature = 105\n    if temperature > 96 and temperature < 98:\n        print(""body is ok"")\n    elif temperature > 99 and temperature < 103:\n        print(""fever detected"")\n    elif temperature >103 and temperature < 106:\n        print(""Emergency, Rush to the hospital"")\n    else:\n        print(""No data entered"")";body is ok;fever is detected;Emergency, Rush to the hospital;No data is entered;;2;197
What will be the output of the following code?\n    def myfun(num):\n        if num >= 4:\n            return num\n        elif num<4:\n            return 2\n    print(myfun(3));2;3;Syntax Error;None of the above;;0;198
"What will be the output of mentioned below code?\n    fruits = (""pineapple"", ""strawberry"", ""grapes"", ""orange"", ""kiwi"", ""cherry"", ""mango"")\n    print(fruits[-4:-1])";('orange', 'kiwi', 'cherry');('grapes', 'mango');();"(""pineapple"", ""strawberry"", ""grapes"", ""orange"", ""kiwi"", ""cherry"", ""mango"")";;1;199
"What is the output of the following code?\n    name = ""robert""\n    print(name==""Robert"")";TypeError;True;False;UnboundLocalError;;2;200
"What would be the output of the following code?\n    for num in range(1, 12, 2):\n        print(num, end = "","")";1.2.3.4.5.6.7.8.9.10.11.12;1 3 5 7 9 11;1,3,5,7,9,11,;None of the above;;2;201
"What will the output be after running the following code?\n    def magicTrick(num) :\n        if (num % 2 == 0):\n            print('even')\n        else:\n            print(""odd"")\n    magicTrick(8)";even;odd;magicTrick;num;;0;202
"What will be the output of the following code?\n    continentOne = str(""Antarctica"")\n    continentTwo = ""Antarctica""\n    print(continentOne == continentTwo)";False;True;ValueError;UndefinedVariableError;;1;203
"Which of the following will convert the string ""hello, life is beautiful"" to ""Hello, Life Is Beautiful""";capitalize();uppercase();bigcase();upper();;0;204
Strings are immutable.;True;False;Sometimes;Maybe;;0;205
What is CPython?;Pythons default implementation as C;Cool Python;A C++ superset language of Python;A Python library for chemistry;;0;206
What is source code?;A list of commands to be assembled and executed;Code with a source;A 2011 movie starring Jake Gyllenhaal ;Machine code;;0;207
What is an interpreter?;A decompiler;A program that translates the source code line-by-line as it is being executed;A program that translates the entire source code to machine code before executing it. ;A program that translates code from English to Spanish;;1;208
What is a compiler?;A program that translates the entire source code to machine code before executing it. ;A program that translates the source code line-by-line as it is being executed;An assembler;A program that combines files;;0;209
What is a high-level language?;A language closer to human language that gives you less control as the programmer;A language far from human language that gives you more control as the programmer;The language of gods;Any written language;;0;210
What is a low-level language?;A language closer to human language that gives you less control as the programmer;A language far from human language that gives you more control as the programmer;The language of rats;Any written language;;1;211
How did Python get its name?;The creator was watching Monty Python WIld Circus;The creator saw a snake in his house;The creator thought it sounded cool;The creator named it after its predecessor, Rattlesnake;;0;212
Who created Python?;Guido van Rossum;Alan Turing;Margaret Hamilton;Andrew Yao;;0;213
How do you know a file is a valid Python file?;It has the extension .py;It contains Python code;Trick question, any file can be a Python file;It contains the word “python”;;0;214
x = 7, y = 6. What does print(x >y) print? ;True\n;“True”;1;TRUE;;0;215
If x = “2” and y = 3, what does `print(x * y)` print?;222;33;6;Error;;0;216
The print function can output ;Any non-zero values;Any argument including zero and empty strings;Any argument including zero but not empty strings;;;0;217
If x = “1” and y = “2”, what does `print(x+y)` print?;12;3;1\n2\n;Error;;0;218
If x = “1” and y = “2”, what does `print(x,y)` print?;12;3;1\n2\n;Error;;0;219
Which operations use “right-sided binding”?;Exponents;Addition and subtraction;Multiplication, modulus, and division;Integer division;;0;220
If x = 2 and y = x ** x * x ** x, what will print(y) print?;16;8;32;12;;0;221
"What will the following print if the user enters in 25 and 5?\n    user1 = input(""""number 1: """")\n    user2 = input(""""number 2: """")\n    mather = user1**user2";9765625;125;1225;Error;;3;222
Does Python use an interpreter?;TRUE;FALSE;;;;0;223
What is Python an example of?;A machine language;A natural language;A high-level programming language;A low-level programming language;;2;224
Which version of Python do we use?;1;2;3;4;;2;225
How do you end a 'while True:' loop?;end;break;stop;You can't;;1;226
What does the “\n” character do?;Represents a new line in the string;Represents a slash and an n;Represents a new file;Represents a variable called n;;0;227
What does this print: print(2 ** 2 ** 3);16;64;12;24;;0;228
What is the difference between a compiler or an interpreter?;There is no difference;Compilers translates code line-by-line as the code runs, while interpreter translates the entire code into machine code before running the program;Interpreters translates code line-by-line as the code runs, while compilers translates the entire code into machine code before running the program;Compilers translate low-level languages into high-level, and interpreters translate high-level languages into machine code;;2;229
The 0x prefix means that the number after it is denoted as:;binary;decimal;octal;hexadecimal;;3;230
The 0o prefix means that the number after it is denoted as:;binary;decimal;octal;hexadecimal;;2;231
The 0b prefix means that the number after it is denoted as:;binary;decimal;octal;hexadecimal;;0;232
What is the difference between a keyword parameter and a positional parameter?;Positional parameters don’t need to be in a specific order;Keyword parameters can be in any order by referencing the argument’s name;There is no difference;Positional parameters change meaning depending on if they are inside or outside the parentheses;;1;233
What would the following operation evaluate to?\n    4 ** 3 - (83 // 9) % 5;60;62;64;0;;0;234
Which of the following is not true about strings?;They are iterable just like a list;They store a list of characters;You use the str() function to create a new string;Strings are a variable type;;2;235
Why do we use hexadecimal numbers?;To represent shapes;Because they are cooler;To represent large numbers with less digits;They can store more decimal places;;2;236
What is 100101 in base 10?;3;21;37;16;;2;237
What is the default implementation of Python?;Capython;CPython;Debugger;C++thon;;1;238
"What will this code output?\n    word = input()\n    word = word.replace ("""" """", """"..."""")\n    print(word)";"It will add """"..."""" in any place where there is a space";It will error;The input will be unchanged;"It will add """"..."""" in between any letter in the input";;1;239
A debugger is;What interprets the code;A tool that lets you launch your code step-by-step and inspect it at every moment of execution;What retrieves the source code;What fixes all your spelling mistakes for you;;2;240
A complete set of known commands is;An instruction list;A machine list;A low-level list;;;1;241
A function definition starts with the keyword:;function;def;fun;;;1;242
A function definition:;must be places before the first invocation;may be placed anywhere inside after the code after the first invocation;Cannot be places among other code;;;0;243
A function parameter is a kind of variable accessible:;anywhere in the code;only inside the function;only after the function definition’s completion;;;1;244
A way of passing arguments in which ofther of the arguments determines the initial parameter’s values is referred to as;ordered;sequential;positional;;;2;245
Which of the following statements are true? Choose 2.;The return keyword may cause the function to return a value;The return keyword forces the function’s execution to terminate;The return keyword forces the function to restart its execution;;;0&&1;246
The None keyword designates;a function that does not a have a return value;a None value;an empty instruction ;;;1;247
A variable defined outside a function;may not be freely accessed in any way inside a function;may be freely accessed inside the function;may be read, but not written(more is needed to do so);;;2;248
If a list is passes into a function as an argument, deleting any of its elements inside the function using the delete instruction;will affect the argument;will cause a runtime error;will not affect the argument;;;0;249
What is the output of the following snippet:\n    def fun(in=2, out=3):\n        return in* out\n    print(fun(3));6;9;Error;;;2;250
What is the output of the following snippet:\n    tup = (1,)+(1,)\n    tup = tup+tup\n    print(len(tup));2;Syntax Error;4;;;2;251
What is the expected behavior of the following program if the user enters 0?\n    value input(“enter a value: “)\n    print(10/value);The program will output 0 to the console;The program raises a ValueError;The program raises a TypeError;The program raises a ZeroDivisionError;;2;252
What does the following program output if the user enters `kangaroo` at the first program and `0` at the second?\n    try\n          first = input(“Enter the first value”)\n        a = len(first)\n        second = input(“Enter the second value”)\n        b = len(second) * 2\n        print(a/b)\n    except ZeroDivisionError:\n        print(“Do not divide by zero!”)\n    except ValueError:\n        print(“Wrong value.”)\n    except:\n        print(“Error”);Do not divide by zero!;Error;Wrong value;4;;3;253
Which of the following lines properly starts a parameterless function definition?;fun function():;def fun:;function fun():;def fun():;;3;254
Which of the following lines properly starts a function using two parameters, both with zeroed default values?;fun fun(a=0,b):;def fun(a=0,b=0):;fun fun(a,b=0):;def fun(a=b=0):;;1;255
The fact that tuples belong to sequence types mean that:;They can be indexed and sliced like lists;They are actually lists;They can be modified by the del instruction;They can be extended using the .append() method;;0;256
What is true about try/except statements? Select 2;The code that follows the try statement will be executed if the code in the except clause causes an error;The code that follows the except statement will be executed if the code in the try clause causes an error;If there is a syntax error in the try block, the except block will not handle it, and a SyntaxError exception will be raised instead;If you suspect a snippet may raise an exception, you should place it in a try block.;;1&&3;257
What will be the output when the following code is executed?\n    my_list = ['Mary', 'had', 'a', 'little', 'lamb']\n    def my_fun(my_list):\n        del my_list[3]\n        my_list[3] = 'ram'\n    print(my_list);['Mary', 'had', 'a', 'ram'];No output, causes an error;['Mary', 'had', 'a', 'little', 'lamb'];['Mary', 'had', 'a', 'lamb'];;2;258
What will be the output when the following code is executed?\n    def function_1(a):\n        return a ** a\n    def function_2(a):\n        return function_1(a) * function_1(a)\n    print(function_2(2));16;Error;4;2;;0;259
What will be the result of the following print statement?\n    def any():\n        print(var + 1, end='')\n    var = 1\n    any()\n    print(var);12;22;11;21;;3;260
What is the output of the following code when executed?\n    def any(x):\n        x += 1\n        return x\n    x = 2\n    x = any(x + 1)\n    print(x);Error;4;5;3;;1;261
What will the output be when the following code is executed?\n    def fun(x,y,z):\n        return x + 2 * y + 3 * z\n    print(fun(0, z=1, y=3));Error;9;0;3;;1;262
A function defined in the following way: (Select 2 answers)\n    def function(x=0):\n        return x;must be invoked without any argument;must be invoked with exactly one argument;may be invoked without any argument;may be invoked with exactly one argument;;2&&3;263
What is the output of the following code when executed?\n    def fun(inp=2, out=3):\n        return inp * out\n    print(fun(out=2));6;Error;2;4;;3;264
A built-in function is a function which:;has been placed in your code by another programmer;comes with Python;has to be imported before use;hidden from programmers;;1;265
What is the output of the following snippet?\n    dict = {'one': 'two', 'three':'one','two':'three'}\n    v = dict['one']\n    for k in range(len(dict)):\n        v = dict[v]\n    print(v);two;three;one;('one','two','three');;0;266
What is the output of this program after it is executed?\n    def f(x):\n        if x == 0:\n            return 0\n        return x + f(x-1)\n    print(f(3));6;Error;1;3;;0;267
What do you expect the following code to output?\n    def f(x):\n        global y\n        y = x * x\n        return y\n    f(2)\n    print(y);None;2;Error;4;;3;268
What is the output of the following code snippet?\n    tup = (1,2,4,8)\n    tup = tup[1:-1]\n    tup = tup[0]\n    print(tup);(2);2;Error;(2,);;1;269
What is the output of the following code snippet?\n    def f(a,b):\n        return a ** a\n    print(f(2));2;4;None;Error;;3;270
What would you add to the following code so it outputs:\n    a\n    b\n    cCode:\n    dict = {}\n    my_list = ['a','b','c','d']\n    for i in range(len(my_list)-1):\n        dict[my_list[i]] = (my_list[i],)\n    for i in sorted(dict.keys()):\n        k = dict[i]\n        # Insert your code here;print(k);print(k[0]);"print(k[""0""]";print(k['0'];;1;271
Which one of these statements is true: Select 2.;The None value can be used as an argument of arithmetic operators;The None value can be assigned to variables;The None value can be compared with variables;The None value cannot be used outside functions;;1&&2;272
What will the output be when the following code is executed?\n    def fun(x):\n        if x % 2 == 0:\n            return 1\n        else:\n            return\n    print(fun(fun(2)) + 1);Error;2;1;None;;0;273
Assuming this tuple is correct, tuples being immutable means they:\n    my_tuple[1] = my_tuple[1] + my_tuple[0];may be illegal if the tuple contains strings;is illegal;can be executed if and only if the tuple contains at least two elements;is correct;;2;274
